Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
North Vietnam / Democratic Republic of Vietnam,1965,Helm,8.0,7.2,6.2,6.2,12.1,17.426
North Vietnam / Democratic Republic of Vietnam,1965,Shield,7.0,7.2,6.8,4.8,9.8,17.426
North Vietnam / Democratic Republic of Vietnam,1965,Lore,7.4,6.0,5.0,5.0,10.9,17.426
North Vietnam / Democratic Republic of Vietnam,1965,Stewards,5.8,6.2,6.0,4.2,8.1,17.426
North Vietnam / Democratic Republic of Vietnam,1965,Craft,5.0,5.0,6.0,4.0,6.0,17.426
North Vietnam / Democratic Republic of Vietnam,1965,Hands,6.8,6.8,6.0,4.0,9.6,17.426
North Vietnam / Democratic Republic of Vietnam,1965,Archive,5.8,6.0,5.8,4.0,8.0,17.426
North Vietnam / Democratic Republic of Vietnam,1965,Flow,4.8,5.0,7.0,3.8,4.7,17.426
North Vietnam / Democratic Republic of Vietnam,1966,Helm,8.0,7.2,6.2,6.2,12.1,17.614
North Vietnam / Democratic Republic of Vietnam,1966,Shield,8.0,7.2,6.0,4.8,11.6,17.614
North Vietnam / Democratic Republic of Vietnam,1966,Lore,7.2,6.0,5.0,5.0,10.7,17.614
North Vietnam / Democratic Republic of Vietnam,1966,Stewards,5.8,6.2,6.0,4.2,8.1,17.614
North Vietnam / Democratic Republic of Vietnam,1966,Craft,5.0,5.0,7.0,4.0,5.0,17.614
North Vietnam / Democratic Republic of Vietnam,1966,Hands,6.8,6.8,7.0,4.0,8.6,17.614
North Vietnam / Democratic Republic of Vietnam,1966,Archive,5.8,6.0,5.8,4.0,8.0,17.614
North Vietnam / Democratic Republic of Vietnam,1966,Flow,4.8,5.0,7.0,3.8,4.7,17.614
North Vietnam / Democratic Republic of Vietnam,1967,Helm,8.0,8.0,7.0,6.2,12.1,15.952
North Vietnam / Democratic Republic of Vietnam,1967,Shield,8.0,7.2,7.0,4.8,10.6,15.952
North Vietnam / Democratic Republic of Vietnam,1967,Lore,7.0,6.0,6.0,5.0,9.5,15.952
North Vietnam / Democratic Republic of Vietnam,1967,Stewards,5.8,5.2,7.0,4.2,6.1,15.952
North Vietnam / Democratic Republic of Vietnam,1967,Craft,5.0,5.0,7.0,4.0,5.0,15.952
