Society,Year,Node,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max,n_eff,NA_rate,bond_n
North Vietnam / Democratic Republic of Vietnam,1965,Helm,0.0,0.45,0.45,0.45,2.5,11.0,13.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1965,Shield,0.0,0.45,0.45,0.45,1.5,9.0,10.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1965,Lore,0.55,0.0,0.0,0.0,1.0,10.5,11.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1965,Stewards,0.45,0.45,0.0,0.45,2.5,7.0,9.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1965,Craft,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1965,Hands,0.45,0.45,0.0,0.0,1.0,9.0,10.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1965,Archive,0.45,0.0,0.45,0.0,2.0,7.0,9.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1965,Flow,0.45,0.0,0.0,0.45,1.5,3.5,5.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1966,Helm,0.0,0.45,0.45,0.45,2.5,11.0,13.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1966,Shield,0.0,0.45,0.0,0.45,1.5,11.0,12.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1966,Lore,0.45,0.0,0.0,0.0,1.0,10.5,11.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1966,Stewards,0.45,0.45,0.0,0.45,2.5,7.0,9.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1966,Craft,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1966,Hands,0.45,0.45,0.0,0.0,1.0,8.0,9.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1966,Archive,0.45,0.0,0.45,0.0,2.0,7.0,9.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1966,Flow,0.45,0.0,0.0,0.45,1.5,3.5,5.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1967,Helm,0.0,0.0,0.0,0.45,0.5,12.0,12.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1967,Shield,0.0,0.45,0.0,0.45,1.5,10.0,11.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1967,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1967,Stewards,0.45,0.45,0.0,0.45,2.5,5.0,7.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1967,Craft,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1967,Hands,0.45,0.45,0.0,0.0,1.0,8.0,9.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1967,Archive,0.45,0.0,0.55,0.0,2.0,6.0,8.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1967,Flow,0.0,0.55,0.0,0.45,1.5,1.5,3.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1968,Helm,0.45,0.0,0.0,0.45,1.5,11.0,12.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1968,Shield,0.0,0.45,0.0,0.45,1.5,9.0,10.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1968,Lore,0.0,0.0,0.0,0.0,0.0,8.5,8.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1968,Stewards,0.45,0.45,0.0,0.45,2.5,5.0,7.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1968,Craft,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1968,Hands,0.45,0.45,0.0,0.0,1.0,7.0,8.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1968,Archive,0.45,0.0,0.0,0.0,1.0,6.0,7.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1968,Flow,0.45,0.0,0.45,0.45,2.5,-0.5,2.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1969,Helm,0.0,0.0,0.0,0.45,0.5,12.0,12.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1969,Shield,0.0,0.0,0.0,0.45,0.5,10.0,10.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1969,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1969,Stewards,0.45,0.45,0.0,0.45,2.5,5.0,7.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1969,Craft,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1969,Hands,0.45,0.45,0.0,0.0,1.0,8.0,9.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1969,Archive,0.45,0.0,0.0,0.0,1.0,7.0,8.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1969,Flow,0.0,0.55,0.0,0.45,1.5,2.5,4.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1970,Helm,0.0,0.0,0.0,0.45,0.5,12.0,12.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1970,Shield,0.0,0.0,0.0,0.45,0.5,11.0,11.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1970,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1970,Stewards,0.45,0.45,0.0,0.45,2.5,5.0,7.5,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1970,Craft,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5,0.0,28
North Vietnam / Democratic Republic of Vietnam,1970,Hands,0.45,0.45,0.0,0.0,1.0,8.0,9.0,5,0.0,28
