year,sino_ppm,partial_year,sino_source,tau_L2,BS_L2,Hands_L2,tau_L3,BS_L3,Hands_L3,china_export_share_pct,prc_actions_count,prc_sanctions_active,us_alliance_pressure,election_year,labor_gov,security_announce_any,sec_dwp2016,sec_su2020,sec_aukus2021,sec_dsr2023,trade_share_source,notes
2006,0.2825206321286135,False,hansard_master.csv,2.085714285714286,3.605425,14.5,1.6744186046511629,3.015245125,14.5,12.45,0.0,0.0,0.0,0,0,0,0,0,0,0,WITS XPRT-PRTNR-SHR (UN Comtrade),
2007,0.0,False,hansard_master.csv,1.738095238095238,3.1627202500000005,11.5,2.085714285714286,3.605425,14.5,14.14,0.0,0.0,0.0,1,0,0,0,0,0,0,WITS XPRT-PRTNR-SHR (UN Comtrade),
2008,0.1293860747201993,False,hansard_master.csv,1.738095238095238,3.127896375,9.5,1.738095238095238,3.1627202500000005,11.5,14.57,0.0,0.0,0.0,0,1,0,0,0,0,0,WITS XPRT-PRTNR-SHR (UN Comtrade),
2009,0.6406375625022022,False,horse_race_data.csv,1.6444444444444444,2.89776625,15.5,1.738095238095238,3.127896375,9.5,21.7,1.0,0.0,0.0,0,1,0,0,0,0,0,WITS XPRT-PRTNR-SHR (UN Comtrade),
2010,0.4709403139664885,False,horse_race_data.csv,1.2142857142857142,2.27376075,12.5,1.6444444444444444,2.89776625,15.5,25.34,0.0,0.0,0.0,1,1,0,0,0,0,0,WITS XPRT-PRTNR-SHR (UN Comtrade),
2011,0.8770350502046185,False,horse_race_data.csv,1.3877551020408163,2.559978875,13.5,1.2142857142857142,2.27376075,12.5,27.39,0.0,0.0,1.0,0,1,0,0,0,0,0,WITS XPRT-PRTNR-SHR (UN Comtrade),
2012,0.5044341018639092,False,horse_race_data.csv,1.2222222222222223,2.259053125,11.5,1.3877551020408163,2.559978875,13.5,29.6,0.0,0.0,0.0,0,1,0,0,0,0,0,WITS XPRT-PRTNR-SHR (UN Comtrade),
2013,1.0670853435294525,False,horse_race_data.csv,1.4,2.4890177500000004,13.5,1.2222222222222223,2.259053125,11.5,34.63,0.0,0.0,0.0,1,1,0,0,0,0,0,WITS XPRT-PRTNR-SHR (UN Comtrade),
2014,0.2478762274675861,False,horse_race_data.csv,1.2830188679245282,2.357151,12.5,1.4,2.4890177500000004,13.5,33.86,0.0,0.0,1.0,0,0,0,0,0,0,0,WITS XPRT-PRTNR-SHR (UN Comtrade),
2015,0.3669679881591662,False,horse_race_data.csv,1.2,2.255881125,12.5,1.2830188679245282,2.357151,12.5,32.49,0.0,0.0,0.0,0,0,0,0,0,0,0,WITS XPRT-PRTNR-SHR (UN Comtrade),
2016,1.6988369762060893,False,horse_race_data.csv,1.1228070175438596,2.1551723750000003,8.5,1.2,2.255881125,12.5,31.64,1.0,0.0,0.0,1,0,1,1,0,0,0,WITS XPRT-PRTNR-SHR (UN Comtrade),
2017,6.777547341168178,False,horse_race_data.csv,1.181818181818182,2.2244145,11.5,1.1228070175438596,2.1551723750000003,8.5,29.7,1.0,0.0,1.0,0,0,0,0,0,0,0,WITS XPRT-PRTNR-SHR (UN Comtrade),
2018,21.98685814079128,False,horse_race_data.csv,1.2452830188679245,2.310058,11.5,1.181818181818182,2.2244145,11.5,29.13,2.0,0.0,0.0,0,0,0,0,0,0,0,WITS XPRT-PRTNR-SHR (UN Comtrade),
2019,11.450634662436393,False,horse_race_data.csv,1.38,2.4796447500000003,11.5,1.2452830188679245,2.310058,11.5,32.89,1.0,0.0,0.0,1,0,0,0,0,0,0,WITS XPRT-PRTNR-SHR (UN Comtrade),
2020,29.784208275833265,False,horse_race_data.csv,1.3333333333333333,2.426141125,11.5,1.38,2.4796447500000003,11.5,37.47,6.0,1.0,0.0,0,0,1,0,1,0,0,WITS XPRT-PRTNR-SHR (UN Comtrade),
2021,35.45584650382818,False,horse_race_data.csv,1.30188679245283,2.323129,11.5,1.3333333333333333,2.426141125,11.5,34.15,1.0,1.0,1.0,0,0,1,0,0,1,0,WITS XPRT-PRTNR-SHR (UN Comtrade),
2022,14.763757261923104,False,horse_race_data.csv,0.9850746268656716,1.84341975,7.5,1.30188679245283,2.323129,11.5,24.95,1.0,1.0,1.0,1,1,0,0,0,0,0,WITS XPRT-PRTNR-SHR (UN Comtrade),
2023,23.806565597230662,False,horse_race_data.csv,0.9701492537313432,1.780865375,5.5,0.9850746268656716,1.84341975,7.5,32.56,0.0,1.0,1.0,0,1,1,0,0,0,1,WITS XPRT-PRTNR-SHR (UN Comtrade),
2024,9.696518083198182,False,horse_race_data.csv,1.0833333333333333,2.001656125,8.5,0.9701492537313432,1.780865375,5.5,30.11,0.0,0.0,1.0,0,1,0,0,0,0,0,UN Comtrade preview API ratio,
2025,13.499692881986936,False,horse_race_data.csv,1.1016949152542372,2.037708375,8.5,1.0833333333333333,2.001656125,8.5,,2.0,0.0,0.0,1,1,0,0,0,0,0,MISSING,china share MISSING
2026,10.033953354466382,True,hansard_raw_counts.csv (partial),1.137931034482759,2.064196,7.5,1.1016949152542372,2.037708375,8.5,,,,,0,1,0,0,0,0,0,MISSING,2026 partial / incomplete
