year,china_export_partner_share_pct,exports_to_china_usd_mil,total_exports_note
2006,12.45,15356,123324
2007,14.14,19968,141182
2008,14.57,27225,186853
2009,21.7,33389,153900
2010,25.34,53740,212109
2011,27.39,73804,269423
2012,29.6,75836,256243
2013,34.63,87311,252155
2014,33.86,81414,240445
2015,32.49,61012,187792
2016,31.64,59993,189630
2017,29.7,68471,230537
2018,29.13,74743,256565
2019,32.89,88894,270261
2020,37.47,92619,247159
2021,34.15,116818,342036
2022,24.95,102353,410253
2023,32.56,120219,369235
