Set,Society,T,Vbar,Vmin,smin,Bbar,lam2,r11,r12
1,Society_A,0,8.7125,6.0,-0.0416,0.289953,2.065877501770977,Strained,Strained
1,Society_A,1,10.5875,8.5,0.208,0.344766,2.52769406840087,Stable Adaptive,Stable Adaptive
1,Society_A,2,10.65,8.5,0.208,0.349708,2.533355003914205,Stable Adaptive,Stable Adaptive
1,Society_A,3,10.65,8.5,0.208,0.349708,2.533355003914205,Stable Adaptive,Stable Adaptive
1,Society_A,4,10.65,8.5,0.208,0.349708,2.533355003914205,Stable Adaptive,Stable Adaptive
1,Society_A,5,10.65,8.5,0.208,0.349708,2.533355003914205,Stable Adaptive,Stable Adaptive
1,Society_A,6,10.65,8.5,0.208,0.349708,2.533355003914205,Stable Adaptive,Stable Adaptive
1,Society_A,7,10.65,8.5,0.208,0.349708,2.533355003914205,Stable Adaptive,Stable Adaptive
1,Society_A,8,10.65,8.5,0.208,0.349708,2.533355003914205,Stable Adaptive,Stable Adaptive
1,Society_A,9,10.65,8.5,0.208,0.349708,2.533355003914205,Stable Adaptive,Stable Adaptive
1,Society_A,10,10.65,8.5,0.208,0.349708,2.533355003914205,Stable Adaptive,Stable Adaptive
1,Society_A,11,10.65,8.5,0.208,0.349708,2.533355003914205,Stable Adaptive,Stable Adaptive
1,Society_A,12,10.65,8.5,0.208,0.349708,2.533355003914205,Stable Adaptive,Stable Adaptive
1,Society_A,13,10.65,8.5,0.208,0.349708,2.533355003914205,Stable Adaptive,Stable Adaptive
1,Society_A,14,7.65,5.5,-0.5,0.234286,1.701029213512783,Strained,Strained
1,Society_A,15,7.65,5.5,-0.5,0.234286,1.701029213512783,Strained,Strained
1,Society_A,16,7.15,3.5,-1.0,0.219973,1.4551840168437755,Phantom Type II,Phantom Type II
1,Society_A,17,7.15,3.5,-1.0,0.219973,1.4551840168437755,Phantom Type II,Phantom Type II
1,Society_A,18,7.65,5.5,-0.5,0.234286,1.701029213512783,Strained,Strained
1,Society_A,19,7.525,4.0,-0.32,0.2562,1.8124145444126656,Strained,Strained
1,Society_A,20,7.525,5.5,-0.5,0.260249,1.9156097638438143,Strained,Strained
1,Society_A,21,8.025,6.0,-0.0416,0.269241,1.9899050433315892,Strained,Strained
1,Society_A,22,8.025,6.0,-0.0416,0.269241,1.9899050433315892,Strained,Strained
1,Society_A,23,8.025,6.0,-0.0416,0.269241,1.9899050433315892,Strained,Strained
1,Society_A,24,8.025,6.0,-0.0416,0.269241,1.9899050433315892,Strained,Strained
1,Society_A,25,8.025,6.0,-0.0416,0.269241,1.9899050433315892,Strained,Strained
1,Society_A,26,8.025,6.0,-0.0416,0.269241,1.9899050433315892,Strained,Strained
1,Society_A,27,8.025,6.0,-0.0416,0.269241,1.9899050433315892,Strained,Strained
1,Society_A,28,7.65,5.0,-0.25,0.256773,1.7286462851043214,Strained,Strained
1,Society_A,29,-0.025,-3.6,-0.7168,0.114466,0.7478577874054654,Freeze/Collapse,Freeze/Collapse
1,Society_A,30,-0.0,-3.6,-0.72,0.114863,0.7454801092756013,Systemic Crisis,Systemic Crisis
1,Society_A,31,-0.375,-4.5,-0.55552,0.10722,0.6599266616170221,Freeze/Collapse,Freeze/Collapse
1,Society_A,32,0.425,-2.5,-0.63,0.115839,0.7661367044335701,Systemic Crisis,Systemic Crisis
1,Society_A,33,1.15,-1.7,-0.558,0.122937,0.8333645237023126,Systemic Crisis,Systemic Crisis
1,Society_A,34,7.2125,5.0,-0.16,0.239569,1.6660834139728316,Strained,Strained
1,Society_A,35,7.2125,5.0,-0.16,0.239569,1.6660834139728316,Strained,Strained
1,Society_A,36,7.2125,5.0,-0.16,0.239569,1.6660834139728316,Strained,Strained
1,Society_A,37,7.2125,5.0,-0.16,0.239569,1.6660834139728316,Strained,Strained
1,Society_A,38,7.2125,5.0,-0.16,0.239569,1.6660834139728316,Strained,Strained
1,Society_A,39,8.2125,7.5,-0.3,0.255751,1.9975402895847238,Strained,Strained
1,Society_A,40,8.2125,7.5,-0.3,0.255751,1.9975402895847238,Strained,Strained
1,Society_A,41,8.2125,7.5,-0.3,0.255751,1.9975402895847238,Strained,Strained
1,Society_A,42,7.8375,4.5,-0.4,0.222349,1.3867016287618392,Strained,Strained
1,Society_A,43,8.0875,6.5,-0.25,0.232279,1.5993682359479946,Strained,Strained
1,Society_A,44,11.8375,9.5,0.468,0.348987,2.557181039806358,Stable Adaptive,Stable Adaptive
1,Society_A,45,11.775,9.5,0.468,0.3485,2.5570777565037743,Stable Adaptive,Stable Adaptive
