Year,BS_delivered,BS_spec,ratio,delta,bond_n_pairs,bond_n_file
2015,9.051,28.51117,0.317455,-19.46017,28,28
2016,8.512,25.663794,0.331673,-17.151794,28,28
2017,7.903,23.401108,0.337719,-15.498108,28,28
2018,7.884,23.497895,0.335519,-15.613895,28,28
2019,7.766,23.14983,0.335467,-15.38383,28,28
2020,5.834,15.620119,0.373493,-9.786119,28,28
2021,6.378,17.983308,0.354662,-11.605308,28,28
2022,6.284,17.582222,0.357406,-11.298222,28,28
2023,6.556,19.304614,0.339608,-12.748614,28,28
2024,6.42,19.398369,0.330956,-12.978369,28,28
2025,5.617,13.024898,0.431251,-7.407898,28,28
2026,5.341,12.214977,0.43725,-6.873977,28,28
