Year,Node,V_delivered,V_spec,delta,V_min,V_max,over_max
2015,Shield,14.1,15.1,-1.0,14.0,14.0,0.1
2015,Lore,12.1,12.1,0.0,12.0,12.0,0.1
2016,Helm,8.2,8.2,0.0,8.0,8.0,0.2
2016,Shield,14.1,15.1,-1.0,14.0,14.0,0.1
2017,Shield,14.1,15.1,-1.0,14.0,14.0,0.1
2019,Helm,5.7,4.7,1.0,5.5,5.5,0.2
2020,Stewards,11.6,11.6,-0.0,9.5,11.5,0.1
2022,Shield,11.4,11.4,0.0,11.0,11.0,0.4
2023,Shield,11.8,11.8,0.0,11.5,11.5,0.3
2023,Craft,10.1,10.1,0.0,8.0,10.0,0.1
2024,Helm,8.6,7.4,1.2,6.5,8.5,0.1
2024,Shield,11.8,11.8,0.0,11.5,11.5,0.3
