Society,mean_AC,mean_KS,mean_sigma,delta_loop_mean,archetype
Argentina,19.791363636363634,-1.1220779220779222,-9.644402597402598,-0.4686090909090909,LCS-T
Australia,28.106776315789478,0.9,38.45024342105264,-8.527963815789473,LCS-T
Canada,32.4380303030303,0.956060606060606,49.31224242424243,-13.976430303030304,HCS-T
Chile,30.948026315789477,1.619078947368421,65.5588947368421,12.90118947368421,MIX
China,28.916938775510204,-0.6859183673469388,14.726599999999998,2.6976678414096913,LCS-T
France,36.56790960451978,1.353813559322034,73.3864350282486,-19.6408604519774,HCS-T
Germany,36.69489795918367,2.239455782312925,106.52717006802722,-0.6341401360544215,HCS-T
Iran,20.957236842105264,-1.0136513157894735,-5.992269736842106,5.3049111842105265,LCS-T
Latium Vetus,26.345696202531645,-1.2819620253164556,-8.220886075949368,10.988918987341773,LCS-T
Norway,33.4987074829932,1.8785714285714288,86.0332448979592,-8.385818367346937,HCS-T
Poland,26.308223684210525,-1.0514802631578946,-14.842532894736843,-7.8896993421052635,LCS-T
Russia,28.08431718061674,0.3705947136563877,25.248885462555062,45.29360969162996,LCS-T
Sweden,36.14184210526316,1.3657894736842104,63.315631578947375,-12.95828947368421,HCS-T
Thailand,32.79,0.5784722222222222,33.63527777777777,4.414666666666666,MIX
USA,35.03799212598425,2.229724409448819,94.37321259842518,-4.140282677165355,HCS-T
United Kingdom,41.09914965986395,2.749659863945578,132.38072108843537,67.99752789115647,HCS
