Society,node_i,node_j,W_ij,W_ij_raw,p_value,n_years
Argentina,Helm,Shield,0.4328,0.4328,0.0001,77
Argentina,Helm,Archive,0.7241,0.7241,0.0,77
Argentina,Helm,Lore,0.7763,0.7763,0.0,77
Argentina,Helm,Stewards,0.8344,0.8344,0.0,77
Argentina,Helm,Craft,0.7818,0.7818,0.0,77
Argentina,Helm,Hands,0.8176,0.8176,0.0,77
Argentina,Helm,Flow,0.8108,0.8108,0.0,77
Argentina,Shield,Archive,0.3223,0.3223,0.0043,77
Argentina,Shield,Lore,0.3785,0.3785,0.0007,77
Argentina,Shield,Stewards,0.4882,0.4882,0.0,77
Argentina,Shield,Craft,0.3147,0.3147,0.0053,77
Argentina,Shield,Hands,0.4108,0.4108,0.0002,77
Argentina,Shield,Flow,0.2856,0.2856,0.0118,77
Argentina,Archive,Lore,0.9056,0.9056,0.0,77
Argentina,Archive,Stewards,0.6451,0.6451,0.0,77
Argentina,Archive,Craft,0.6674,0.6674,0.0,77
Argentina,Archive,Hands,0.7397,0.7397,0.0,77
Argentina,Archive,Flow,0.6321,0.6321,0.0,77
Argentina,Lore,Stewards,0.5762,0.5762,0.0,77
Argentina,Lore,Craft,0.5853,0.5853,0.0,77
Argentina,Lore,Hands,0.7385,0.7385,0.0,77
Argentina,Lore,Flow,0.5303,0.5303,0.0,77
Argentina,Stewards,Craft,0.9063,0.9063,0.0,77
Argentina,Stewards,Hands,0.7349,0.7349,0.0,77
Argentina,Stewards,Flow,0.9044,0.9044,0.0,77
Argentina,Craft,Hands,0.7429,0.7429,0.0,77
Argentina,Craft,Flow,0.8881,0.8881,0.0,77
Argentina,Hands,Flow,0.7573,0.7573,0.0,77
Australia,Helm,Shield,0.6229,0.6229,0.0,152
Australia,Helm,Archive,0.7109,0.7109,0.0,152
Australia,Helm,Lore,0.8039,0.8039,0.0,152
Australia,Helm,Stewards,0.6375,0.6375,0.0,152
Australia,Helm,Craft,0.6029,0.6029,0.0,152
Australia,Helm,Hands,0.6307,0.6307,0.0,152
Australia,Helm,Flow,0.7294,0.7294,0.0,152
Australia,Shield,Archive,0.4571,0.4571,0.0,152
Australia,Shield,Lore,0.6098,0.6098,0.0,152
Australia,Shield,Stewards,0.3839,0.3839,0.0,152
Australia,Shield,Craft,0.3965,0.3965,0.0,152
Australia,Shield,Hands,0.4972,0.4972,0.0,152
Australia,Shield,Flow,0.3931,0.3931,0.0,152
Australia,Archive,Lore,0.7484,0.7484,0.0,152
Australia,Archive,Stewards,0.5681,0.5681,0.0,152
Australia,Archive,Craft,0.6273,0.6273,0.0,152
Australia,Archive,Hands,0.7689,0.7689,0.0,152
Australia,Archive,Flow,0.5953,0.5953,0.0,152
Australia,Lore,Stewards,0.616,0.616,0.0,152
Australia,Lore,Craft,0.5634,0.5634,0.0,152
Australia,Lore,Hands,0.6274,0.6274,0.0,152
Australia,Lore,Flow,0.5441,0.5441,0.0,152
Australia,Stewards,Craft,0.7883,0.7883,0.0,152
Australia,Stewards,Hands,0.5698,0.5698,0.0,152
Australia,Stewards,Flow,0.7485,0.7485,0.0,152
Australia,Craft,Hands,0.6712,0.6712,0.0,152
Australia,Craft,Flow,0.6962,0.6962,0.0,152
Australia,Hands,Flow,0.6246,0.6246,0.0,152
Canada,Helm,Shield,0.819,0.819,0.0,33
Canada,Helm,Archive,0.8961,0.8961,0.0,33
Canada,Helm,Lore,0.8305,0.8305,0.0,33
Canada,Helm,Stewards,0.8864,0.8864,0.0,33
Canada,Helm,Craft,0.8487,0.8487,0.0,33
Canada,Helm,Hands,0.9106,0.9106,0.0,33
Canada,Helm,Flow,0.9079,0.9079,0.0,33
Canada,Shield,Archive,0.832,0.832,0.0,33
