Society,node_i,node_j,W_ij,mean_W,cross_cluster,is_bridge
Argentina,Helm,Shield,0.4328,0.6547,False,False
Argentina,Helm,Archive,0.7241,0.6547,False,False
Argentina,Helm,Lore,0.7763,0.6547,True,False
Argentina,Helm,Stewards,0.8344,0.6547,True,False
Argentina,Helm,Craft,0.7818,0.6547,True,False
Argentina,Helm,Hands,0.8176,0.6547,True,False
Argentina,Helm,Flow,0.8108,0.6547,True,False
Argentina,Shield,Archive,0.3223,0.6547,False,False
Argentina,Shield,Lore,0.3785,0.6547,True,True
Argentina,Shield,Stewards,0.4882,0.6547,True,True
Argentina,Shield,Craft,0.3147,0.6547,True,True
Argentina,Shield,Hands,0.4108,0.6547,True,True
Argentina,Shield,Flow,0.2856,0.6547,True,True
Argentina,Archive,Lore,0.9056,0.6547,True,False
Argentina,Archive,Stewards,0.6451,0.6547,True,True
Argentina,Archive,Craft,0.6674,0.6547,True,False
Argentina,Archive,Hands,0.7397,0.6547,True,False
Argentina,Archive,Flow,0.6321,0.6547,True,True
Argentina,Lore,Stewards,0.5762,0.6547,False,False
Argentina,Lore,Craft,0.5853,0.6547,False,False
Argentina,Lore,Hands,0.7385,0.6547,False,False
Argentina,Lore,Flow,0.5303,0.6547,False,False
Argentina,Stewards,Craft,0.9063,0.6547,False,False
Argentina,Stewards,Hands,0.7349,0.6547,False,False
Argentina,Stewards,Flow,0.9044,0.6547,False,False
Argentina,Craft,Hands,0.7429,0.6547,False,False
Argentina,Craft,Flow,0.8881,0.6547,False,False
Argentina,Hands,Flow,0.7573,0.6547,False,False
Australia,Helm,Shield,0.6229,0.6155,False,False
Australia,Helm,Archive,0.7109,0.6155,False,False
Australia,Helm,Lore,0.8039,0.6155,True,False
Australia,Helm,Stewards,0.6375,0.6155,True,False
Australia,Helm,Craft,0.6029,0.6155,True,True
Australia,Helm,Hands,0.6307,0.6155,True,False
Australia,Helm,Flow,0.7294,0.6155,True,False
Australia,Shield,Archive,0.4571,0.6155,False,False
Australia,Shield,Lore,0.6098,0.6155,True,True
Australia,Shield,Stewards,0.3839,0.6155,True,True
Australia,Shield,Craft,0.3965,0.6155,True,True
Australia,Shield,Hands,0.4972,0.6155,True,True
Australia,Shield,Flow,0.3931,0.6155,True,True
Australia,Archive,Lore,0.7484,0.6155,True,False
Australia,Archive,Stewards,0.5681,0.6155,True,True
Australia,Archive,Craft,0.6273,0.6155,True,False
Australia,Archive,Hands,0.7689,0.6155,True,False
Australia,Archive,Flow,0.5953,0.6155,True,True
Australia,Lore,Stewards,0.616,0.6155,False,False
Australia,Lore,Craft,0.5634,0.6155,False,False
Australia,Lore,Hands,0.6274,0.6155,False,False
Australia,Lore,Flow,0.5441,0.6155,False,False
Australia,Stewards,Craft,0.7883,0.6155,False,False
Australia,Stewards,Hands,0.5698,0.6155,False,False
Australia,Stewards,Flow,0.7485,0.6155,False,False
Australia,Craft,Hands,0.6712,0.6155,False,False
Australia,Craft,Flow,0.6962,0.6155,False,False
Australia,Hands,Flow,0.6246,0.6155,False,False
Canada,Helm,Shield,0.819,0.8478,False,False
Canada,Helm,Archive,0.8961,0.8478,False,False
Canada,Helm,Lore,0.8305,0.8478,True,True
Canada,Helm,Stewards,0.8864,0.8478,True,False
Canada,Helm,Craft,0.8487,0.8478,True,False
Canada,Helm,Hands,0.9106,0.8478,True,False
Canada,Helm,Flow,0.9079,0.8478,True,False
Canada,Shield,Archive,0.832,0.8478,False,False
Canada,Shield,Lore,0.8509,0.8478,True,False
Canada,Shield,Stewards,0.6789,0.8478,True,True
Canada,Shield,Craft,0.7793,0.8478,True,True
Canada,Shield,Hands,0.727,0.8478,True,True
Canada,Shield,Flow,0.7325,0.8478,True,True
Canada,Archive,Lore,0.9635,0.8478,True,False
Canada,Archive,Stewards,0.8192,0.8478,True,True
Canada,Archive,Craft,0.8935,0.8478,True,False
Canada,Archive,Hands,0.8956,0.8478,True,False
Canada,Archive,Flow,0.8255,0.8478,True,True
Canada,Lore,Stewards,0.7609,0.8478,False,False
Canada,Lore,Craft,0.8958,0.8478,False,False
Canada,Lore,Hands,0.8417,0.8478,False,False
Canada,Lore,Flow,0.7928,0.8478,False,False
Canada,Stewards,Craft,0.896,0.8478,False,False
Canada,Stewards,Hands,0.861,0.8478,False,False
Canada,Stewards,Flow,0.9552,0.8478,False,False
Canada,Craft,Hands,0.8716,0.8478,False,False
Canada,Craft,Flow,0.8934,0.8478,False,False
Canada,Hands,Flow,0.872,0.8478,False,False
Chile,Helm,Shield,0.7113,0.6963,False,False
Chile,Helm,Archive,0.6401,0.6963,False,False
Chile,Helm,Lore,0.6361,0.6963,True,True
Chile,Helm,Stewards,0.7258,0.6963,True,False
Chile,Helm,Craft,0.8516,0.6963,True,False
Chile,Helm,Hands,0.8316,0.6963,True,False
Chile,Helm,Flow,0.7207,0.6963,True,False
Chile,Shield,Archive,0.4551,0.6963,False,False
Chile,Shield,Lore,0.5815,0.6963,True,True
Chile,Shield,Stewards,0.688,0.6963,True,True
Chile,Shield,Craft,0.596,0.6963,True,True
Chile,Shield,Hands,0.5509,0.6963,True,True
Chile,Shield,Flow,0.6596,0.6963,True,True
Chile,Archive,Lore,0.868,0.6963,True,False
Chile,Archive,Stewards,0.518,0.6963,True,True
Chile,Archive,Craft,0.8361,0.6963,True,False
Chile,Archive,Hands,0.7658,0.6963,True,False
Chile,Archive,Flow,0.6004,0.6963,True,True
Chile,Lore,Stewards,0.5638,0.6963,False,False
Chile,Lore,Craft,0.7769,0.6963,False,False
Chile,Lore,Hands,0.6913,0.6963,False,False
Chile,Lore,Flow,0.5906,0.6963,False,False
Chile,Stewards,Craft,0.7457,0.6963,False,False
Chile,Stewards,Hands,0.6095,0.6963,False,False
Chile,Stewards,Flow,0.9363,0.6963,False,False
Chile,Craft,Hands,0.8865,0.6963,False,False
Chile,Craft,Flow,0.7901,0.6963,False,False
Chile,Hands,Flow,0.6684,0.6963,False,False
China,Helm,Shield,0.8241,0.8143,False,False
China,Helm,Archive,0.8649,0.8143,False,False
China,Helm,Lore,0.7378,0.8143,True,True
China,Helm,Stewards,0.857,0.8143,True,False
China,Helm,Craft,0.8953,0.8143,True,False
China,Helm,Hands,0.9168,0.8143,True,False
China,Helm,Flow,0.9096,0.8143,True,False
China,Shield,Archive,0.7465,0.8143,False,False
China,Shield,Lore,0.4793,0.8143,True,True
China,Shield,Stewards,0.7299,0.8143,True,True
China,Shield,Craft,0.8373,0.8143,True,False
China,Shield,Hands,0.8254,0.8143,True,False
China,Shield,Flow,0.8278,0.8143,True,False
China,Archive,Lore,0.8499,0.8143,True,False
China,Archive,Stewards,0.832,0.8143,True,False
China,Archive,Craft,0.8613,0.8143,True,False
China,Archive,Hands,0.8501,0.8143,True,False
China,Archive,Flow,0.8425,0.8143,True,False
China,Lore,Stewards,0.7534,0.8143,False,False
China,Lore,Craft,0.6495,0.8143,False,False
China,Lore,Hands,0.6873,0.8143,False,False
China,Lore,Flow,0.6843,0.8143,False,False
China,Stewards,Craft,0.8497,0.8143,False,False
China,Stewards,Hands,0.8414,0.8143,False,False
China,Stewards,Flow,0.9139,0.8143,False,False
China,Craft,Hands,0.9117,0.8143,False,False
China,Craft,Flow,0.926,0.8143,False,False
China,Hands,Flow,0.8962,0.8143,False,False
France,Helm,Shield,0.9067,0.7809,False,False
France,Helm,Archive,0.7765,0.7809,False,False
France,Helm,Lore,0.8146,0.7809,True,False
France,Helm,Stewards,0.8319,0.7809,True,False
France,Helm,Craft,0.7605,0.7809,True,True
France,Helm,Hands,0.6364,0.7809,True,True
France,Helm,Flow,0.7596,0.7809,True,True
France,Shield,Archive,0.8001,0.7809,False,False
France,Shield,Lore,0.7969,0.7809,True,False
France,Shield,Stewards,0.6973,0.7809,True,True
France,Shield,Craft,0.648,0.7809,True,True
France,Shield,Hands,0.4852,0.7809,True,True
France,Shield,Flow,0.6546,0.7809,True,True
France,Archive,Lore,0.9221,0.7809,True,False
France,Archive,Stewards,0.7303,0.7809,True,True
France,Archive,Craft,0.7958,0.7809,True,False
France,Archive,Hands,0.6601,0.7809,True,True
France,Archive,Flow,0.7893,0.7809,True,False
France,Lore,Stewards,0.7986,0.7809,False,False
France,Lore,Craft,0.8183,0.7809,False,False
France,Lore,Hands,0.7191,0.7809,False,False
France,Lore,Flow,0.8035,0.7809,False,False
France,Stewards,Craft,0.889,0.7809,False,False
France,Stewards,Hands,0.8266,0.7809,False,False
France,Stewards,Flow,0.9007,0.7809,False,False
France,Craft,Hands,0.8597,0.7809,False,False
France,Craft,Flow,0.9352,0.7809,False,False
France,Hands,Flow,0.8475,0.7809,False,False
Germany,Helm,Shield,0.6386,0.6521,False,False
Germany,Helm,Archive,0.6717,0.6521,False,False
Germany,Helm,Lore,0.3311,0.6521,True,True
Germany,Helm,Stewards,0.6928,0.6521,True,False
Germany,Helm,Craft,0.6137,0.6521,True,True
Germany,Helm,Hands,0.7065,0.6521,True,False
Germany,Helm,Flow,0.6546,0.6521,True,False
Germany,Shield,Archive,0.5943,0.6521,False,False
Germany,Shield,Lore,0.3073,0.6521,True,True
Germany,Shield,Stewards,0.6933,0.6521,True,False
Germany,Shield,Craft,0.6406,0.6521,True,True
Germany,Shield,Hands,0.508,0.6521,True,True
Germany,Shield,Flow,0.5905,0.6521,True,True
Germany,Archive,Lore,0.6859,0.6521,True,False
Germany,Archive,Stewards,0.831,0.6521,True,False
Germany,Archive,Craft,0.8019,0.6521,True,False
Germany,Archive,Hands,0.5483,0.6521,True,True
Germany,Archive,Flow,0.7744,0.6521,True,False
Germany,Lore,Stewards,0.6087,0.6521,False,False
Germany,Lore,Craft,0.6809,0.6521,False,False
Germany,Lore,Hands,0.3351,0.6521,False,False
Germany,Lore,Flow,0.6152,0.6521,False,False
Germany,Stewards,Craft,0.9194,0.6521,False,False
Germany,Stewards,Hands,0.6835,0.6521,False,False
Germany,Stewards,Flow,0.8938,0.6521,False,False
Germany,Craft,Hands,0.6509,0.6521,False,False
Germany,Craft,Flow,0.8934,0.6521,False,False
Germany,Hands,Flow,0.6922,0.6521,False,False
Iran,Helm,Shield,0.8885,0.7046,False,False
Iran,Helm,Archive,0.8688,0.7046,False,False
Iran,Helm,Lore,0.3385,0.7046,True,True
Iran,Helm,Stewards,0.8226,0.7046,True,False
Iran,Helm,Craft,0.8291,0.7046,True,False
Iran,Helm,Hands,0.7069,0.7046,True,False
Iran,Helm,Flow,0.8148,0.7046,True,False
Iran,Shield,Archive,0.877,0.7046,False,False
Iran,Shield,Lore,0.2946,0.7046,True,True
Iran,Shield,Stewards,0.8439,0.7046,True,False
Iran,Shield,Craft,0.8392,0.7046,True,False
Iran,Shield,Hands,0.7339,0.7046,True,False
Iran,Shield,Flow,0.8381,0.7046,True,False
Iran,Archive,Lore,0.4113,0.7046,True,True
Iran,Archive,Stewards,0.8084,0.7046,True,False
Iran,Archive,Craft,0.8268,0.7046,True,False
Iran,Archive,Hands,0.7867,0.7046,True,False
Iran,Archive,Flow,0.7671,0.7046,True,False
Iran,Lore,Stewards,0.3923,0.7046,False,False
Iran,Lore,Craft,0.4571,0.7046,False,False
Iran,Lore,Hands,0.5611,0.7046,False,False
Iran,Lore,Flow,0.3334,0.7046,False,False
Iran,Stewards,Craft,0.8218,0.7046,False,False
Iran,Stewards,Hands,0.7108,0.7046,False,False
Iran,Stewards,Flow,0.8674,0.7046,False,False
Iran,Craft,Hands,0.7918,0.7046,False,False
Iran,Craft,Flow,0.8108,0.7046,False,False
Iran,Hands,Flow,0.687,0.7046,False,False
Latium Vetus,Helm,Shield,0.5595,0.5774,False,False
Latium Vetus,Helm,Archive,0.6577,0.5774,False,False
Latium Vetus,Helm,Lore,0.6436,0.5774,True,False
Latium Vetus,Helm,Stewards,0.7123,0.5774,True,False
Latium Vetus,Helm,Craft,0.6383,0.5774,True,False
Latium Vetus,Helm,Hands,0.4876,0.5774,True,True
Latium Vetus,Helm,Flow,0.6106,0.5774,True,False
Latium Vetus,Shield,Archive,0.4,0.5774,False,False
Latium Vetus,Shield,Lore,0.4531,0.5774,True,True
Latium Vetus,Shield,Stewards,0.5405,0.5774,True,True
Latium Vetus,Shield,Craft,0.3913,0.5774,True,True
Latium Vetus,Shield,Hands,0.3407,0.5774,True,True
Latium Vetus,Shield,Flow,0.4666,0.5774,True,True
Latium Vetus,Archive,Lore,0.8268,0.5774,True,False
Latium Vetus,Archive,Stewards,0.7098,0.5774,True,False
Latium Vetus,Archive,Craft,0.728,0.5774,True,False
Latium Vetus,Archive,Hands,0.3671,0.5774,True,True
