Society,node_i,node_j,shock_year,pre_W,trough_W,recovery_W,recovery_pct,island_of_rigidity
Argentina,Shield,Lore,2008,0.0,0.0,0.0,0.0,True
Argentina,Shield,Lore,2020,0.8386,0.9831,0.0,680.4,False
Argentina,Shield,Stewards,2008,0.0,0.0,0.0,0.0,True
Argentina,Shield,Stewards,2020,1.0,0.6231,0.8534,61.1,False
Argentina,Shield,Craft,2008,0.0,0.0,0.0,0.0,True
Argentina,Shield,Craft,2020,0.866,0.9737,1.0,-24.4,True
Argentina,Shield,Hands,2008,0.0,0.0,0.0,0.0,True
Argentina,Shield,Hands,2020,0.9799,1.0,1.0,-0.0,True
Argentina,Shield,Flow,2008,0.0,0.0,0.0,0.0,True
Argentina,Shield,Flow,2020,1.0,0.0,0.6547,65.5,False
Argentina,Archive,Stewards,2008,0.0,0.0,0.5,50000000000.0,False
Argentina,Archive,Stewards,2020,0.866,0.6231,0.0,-256.5,True
Argentina,Archive,Flow,2008,0.0,0.0,0.5,50000000000.0,False
Argentina,Archive,Flow,2020,0.866,0.0,0.0,0.0,True
Australia,Helm,Craft,2008,0.0,0.0,0.0,0.0,True
Australia,Helm,Craft,2020,0.0,0.552,0.0,100.0,False
Australia,Shield,Lore,2008,0.0,0.0,0.0,0.0,True
Australia,Shield,Lore,2020,1.0,0.0,0.0,0.0,True
Australia,Shield,Stewards,2008,0.0,0.0,0.0,0.0,True
Australia,Shield,Stewards,2020,0.0,0.0,0.0,0.0,True
Australia,Shield,Craft,2008,0.0,0.0,0.0,0.0,True
Australia,Shield,Craft,2020,1.0,0.0,0.0,0.0,True
Australia,Shield,Hands,2008,0.0,0.0,0.0,0.0,True
Australia,Shield,Hands,2020,1.0,0.0,0.0,0.0,True
Australia,Shield,Flow,2008,0.0,0.0,0.0,0.0,True
Australia,Shield,Flow,2020,1.0,0.0,0.0,0.0,True
Australia,Archive,Stewards,2008,0.0,0.0,0.0,0.0,True
Australia,Archive,Stewards,2020,0.0,0.0,0.0,0.0,True
Australia,Archive,Flow,2008,0.0,0.0,0.0,0.0,True
Australia,Archive,Flow,2020,0.5,0.5774,0.0,746.4,False
