Society,Node,shock_year,delta_AC,delta_KS,collapse_contraction
Argentina,Archive,2008,0.0,0.0,False
Argentina,Archive,2020,-2.3333,-0.1667,True
Argentina,Craft,2008,0.0,-1.4,False
Argentina,Craft,2020,0.0,-0.1667,False
Argentina,Flow,2008,-6.0,-1.8333,True
Argentina,Flow,2020,2.3333,-1.3333,False
Argentina,Hands,2008,-5.4533,-0.5,True
Argentina,Hands,2020,0.0,-0.2667,False
Argentina,Helm,2008,-5.0,-1.6,True
Argentina,Helm,2020,-2.3333,0.2333,False
Argentina,Lore,2008,0.0,-0.1,False
Argentina,Lore,2020,0.0,0.2,False
Argentina,Shield,2008,0.0,0.0,False
Argentina,Shield,2020,0.0,-0.3333,False
Argentina,Stewards,2008,-6.0,-2.1667,True
Argentina,Stewards,2020,0.0,-0.6667,False
Australia,Archive,2008,0.0,0.0,False
Australia,Archive,2020,0.0,-0.5,False
Australia,Craft,2008,-5.0,-2.6667,True
Australia,Craft,2020,0.0,-1.5,False
Australia,Flow,2008,-16.08,-2.3333,True
Australia,Flow,2020,0.0,-2.5,False
Australia,Hands,2008,0.0,3.4,False
Australia,Hands,2020,0.0,-1.8333,False
Australia,Helm,2008,-14.3333,-3.6667,True
Australia,Helm,2020,9.1667,1.7667,False
Australia,Lore,2008,-5.6,-1.0,True
Australia,Lore,2020,-2.6,1.0,False
Australia,Shield,2008,0.0,1.0,False
Australia,Shield,2020,0.0,0.5,False
Australia,Stewards,2008,-7.2,-3.0,True
Australia,Stewards,2020,0.0,0.0,False
Canada,Archive,2008,-6.5,-1.0,True
Canada,Archive,2020,0.0,-2.0,False
Canada,Craft,2008,-6.0,-1.6,True
Canada,Craft,2020,-6.0,-2.2,True
Canada,Flow,2008,-18.5,-3.1,True
Canada,Flow,2020,-10.0,-2.4,True
Canada,Hands,2008,-10.0,-2.1,True
Canada,Hands,2020,-4.0,-3.0,True
Canada,Helm,2008,-6.0,-1.6,True
Canada,Helm,2020,-1.2,-1.0,True
Canada,Lore,2008,0.0,-1.0,False
Canada,Lore,2020,-7.0,-2.0,True
