Society,Year,Node,Coherence,Capacity,Stress,Abstraction,_source_file,Node Value,Bond Strength,AC,K_S,sigma
Argentina,1950,Archive,5.0,5.0,4.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,1.0,25.0
Argentina,1950,Craft,5.0,5.0,4.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,1.0,25.0
Argentina,1950,Flow,5.0,5.2,4.2,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,1.0,25.0
Argentina,1950,Hands,6.0,5.6,4.2,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,30.0,1.3999999999999995,41.999999999999986
Argentina,1950,Helm,7.0,6.4,4.2,6.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,42.0,2.2,92.4
Argentina,1950,Lore,6.2,6.0,4.0,6.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,37.2,2.0,74.4
Argentina,1950,Shield,6.0,6.0,4.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,30.0,2.0,60.0
Argentina,1950,Stewards,5.0,5.2,4.2,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,1.0,25.0
Argentina,1951,Archive,5.0,5.0,4.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,1.0,25.0
Argentina,1951,Craft,5.0,5.0,4.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,1.0,25.0
Argentina,1951,Flow,5.0,5.0,4.4,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.5999999999999996,14.999999999999991
Argentina,1951,Hands,6.0,6.0,4.2,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,30.0,1.7999999999999998,53.99999999999999
Argentina,1951,Helm,7.0,6.4,4.2,6.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,42.0,2.2,92.4
Argentina,1951,Lore,6.2,6.0,4.0,6.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,37.2,2.0,74.4
Argentina,1951,Shield,6.0,6.0,4.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,30.0,2.0,60.0
Argentina,1951,Stewards,5.0,5.2,4.2,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,1.0,25.0
Argentina,1952,Archive,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1952,Craft,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1952,Flow,4.0,5.0,6.0,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-1.0,-16.0
Argentina,1952,Hands,5.0,5.0,6.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,-1.0,-25.0
Argentina,1952,Helm,6.0,6.0,6.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,30.0,0.0,0.0
Argentina,1952,Lore,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1952,Shield,5.8,6.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,29.0,1.0,29.0
Argentina,1952,Stewards,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1953,Archive,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1953,Craft,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1953,Flow,4.0,4.6,5.6,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-1.0,-16.0
Argentina,1953,Hands,4.8,5.0,5.6,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,19.2,-0.5999999999999996,-11.519999999999992
Argentina,1953,Helm,5.8,5.0,6.2,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,29.0,-1.2000000000000002,-34.800000000000004
Argentina,1953,Lore,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1953,Shield,5.2,5.8,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,26.0,0.7999999999999998,20.799999999999997
Argentina,1953,Stewards,4.0,5.0,5.2,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-0.20000000000000018,-3.200000000000003
Argentina,1954,Archive,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1954,Craft,5.0,5.0,5.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,25.0,0.0,0.0
Argentina,1954,Flow,4.0,4.8,5.2,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,16.0,-0.40000000000000036,-6.400000000000006
Argentina,1954,Hands,4.4,5.0,5.2,4.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,17.6,-0.20000000000000018,-3.5200000000000036
Argentina,1954,Helm,5.6,5.0,6.0,5.0,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,,,28.0,-1.0,-28.0
