year,baseline,motherhood_raw,babies_raw,birth_rate_raw,declining_birth_raw,childless_raw,large_family_raw,child_endowment_raw,maternity_raw,population_decline_raw,fewer_children_raw,family_allowance_raw,baby_boom_raw,fertility_rate_raw,falling_birth_raw,population_policy_raw,motherhood_ppm,babies_ppm,birth_rate_ppm,declining_birth_ppm,childless_ppm,large_family_ppm,child_endowment_ppm,maternity_ppm,population_decline_ppm,fewer_children_ppm,family_allowance_ppm,baby_boom_ppm,fertility_rate_ppm,falling_birth_ppm,population_policy_ppm,r1_confidence_ppm,r2_anxiety_ppm,r3_state_ppm
1955,551504,108,13043,1910,109,91,10613,499,17256,295,7989,4215,211,692,610,784,195.83,23649.87,3463.26,197.64,165.0,19243.74,904.8,31288.98,534.9,14485.84,7642.74,382.59,1254.75,1106.07,1421.57,27082.31,16489.45,33615.35
1956,421210,78,10222,1690,94,54,8067,340,13269,227,5946,3771,273,617,496,584,185.18,24268.18,4012.25,223.17,128.2,19151.97,807.2,31502.1,538.92,14116.47,8952.78,648.13,1464.83,1177.56,1386.48,28289.93,16184.32,33695.78
1957,329401,42,7770,704,88,36,6201,241,8960,234,4660,2264,145,539,312,643,127.5,23588.27,2137.21,267.15,109.29,18825.08,731.63,27200.89,710.38,14146.89,6873.08,440.19,1636.3,947.17,1952.03,25825.66,16180.88,29884.55
1958,334549,47,7795,799,85,63,6618,438,9266,243,4490,2676,206,416,358,716,140.49,23300.02,2388.29,254.07,188.31,19781.86,1309.23,27696.99,726.35,13421.05,7998.83,615.75,1243.47,1070.1,2140.19,27921.18,15659.88,31146.41
1959,336994,58,7905,905,95,41,7197,283,9459,234,4995,2652,196,450,310,620,172.11,23457.39,2685.51,281.9,121.66,21356.46,839.78,28068.75,694.37,14822.22,7869.58,581.61,1335.34,919.9,1839.8,29398.15,16840.05,30748.33
1960,310781,40,8370,823,43,46,6871,234,8547,187,4275,2368,232,411,265,608,128.71,26932.15,2648.17,138.36,148.01,22108.82,752.94,27501.68,601.71,13755.67,7619.51,746.51,1322.47,852.69,1956.36,29857.04,15496.44,30210.98
1961,342246,43,9865,1106,51,35,7120,287,9841,198,4360,2280,129,346,284,694,125.64,28824.3,3231.59,149.02,102.27,20803.75,838.58,28754.17,578.53,12739.37,6661.87,376.92,1010.97,829.81,2027.78,27591.26,14399.0,31620.53
1962,306436,39,8628,684,39,26,6388,181,8263,167,3604,2034,115,394,202,571,127.27,28155.96,2232.11,127.27,84.85,20846.11,590.66,26964.85,544.98,11761.02,6637.6,375.28,1285.75,659.19,1863.36,27610.98,13177.31,29418.87
1963,283204,47,7723,597,31,37,6276,275,7124,158,3411,1971,99,327,181,629,165.96,27270.1,2108.02,109.46,130.65,22160.7,971.03,25155.01,557.9,12044.32,6959.65,349.57,1154.64,639.12,2221.01,29286.31,13481.45,28347.05
1964,289038,30,7949,819,51,22,6610,214,8102,177,3465,2040,115,395,187,580,103.79,27501.57,2833.54,176.45,76.11,22868.97,740.39,28030.92,612.38,11988.04,7057.9,397.87,1366.6,646.97,2006.66,30030.66,13499.95,30777.97
1965,285627,42,7678,809,75,29,6981,125,7974,188,3614,2116,130,391,278,596,147.04,26881.21,2832.37,262.58,101.53,24440.97,437.63,27917.53,658.2,12652.87,7408.26,455.14,1368.92,973.3,2086.64,31996.27,14648.48,30441.8
