Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
USA,2010,Helm,4,7,6,8,9.0,2.158
USA,2010,Shield,7,9,6,8,14.0,2.245
USA,2010,Lore,5,8,5,9,12.5,2.212
USA,2010,Stewards,6,7,7,8,10.0,2.084
USA,2010,Craft,6,7,5,8,12.0,2.218
USA,2010,Hands,5,6,8,6,6.0,1.845
USA,2010,Archive,8,8,4,9,16.5,2.412
USA,2010,Flow,6,8,6,9,12.5,2.212
//
USA,2022,Hands,5,7,6,6,10.0,2.142
USA,2022,Archive,8,8,4,9,16.5,2.412
USA,2022,Flow,7,8,5,9,14.5,2.418
USA,2023,Helm,4,7,7,8,8.0,1.942
USA,2023,Shield,7,8,6,8,13.0,2.185
USA,2023,Lore,3,8,7,9,8.5,1.742
USA,2023,Stewards,7,8,5,8,14.0,2.412
USA,2023,Craft,7,8,4,8,15.0,2.568
USA,2023,Hands,5,7,5,6,11.0,2.312
USA,2023,Archive,8,8,4,9,16.5,2.412
USA,2023,Flow,7,8,4,9,15.5,2.541
USA,2024,Helm,4,7,7,8,8.0,1.942
USA,2024,Shield,7,8,6,8,13.0,2.185
USA,2024,Lore,3,8,8,9,7.5,1.542
USA,2024,Stewards,7,8,5,8,14.0,2.412
USA,2024,Craft,7,8,4,8,15.0,2.568
USA,2024,Hands,6,7,5,6,12.0,2.456
USA,2024,Archive,8,8,4,9,16.5,2.412
USA,2024,Flow,7,8,4,9,15.5,2.541
USA,2025,Helm,3,7,7,8,7.0,1.885
USA,2025,Shield,7,8,6,8,13.0,2.185
USA,2025,Lore,3,8,8,9,7.5,1.542
USA,2025,Stewards,7,8,5,8,14.0,2.412
USA,2025,Craft,7,8,4,8,15.0,2.568
USA,2025,Hands,6,7,5,6,12.0,2.456
USA,2025,Archive,8,8,4,9,16.5,2.412
USA,2025,Flow,7,8,4,9,15.5,2.541
